0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,
1200,1200.0,1.12937316,0.152877806,9.9361908,0.01400756825,-0.095443725,0.007972716999999999,52.974701,-53.62523333333333,-261.10000499999995,10.001369988810506,0.09681026042049727,271.7657617644603,104.00715744681656,109.25020521134138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,
1300,1300.0,1.37501828,0.0427490228,9.656555,-0.072387696,0.022375488,-0.047421264000000005,52.139282,-51.57013,-261.03027000000003,9.7540888121601,0.09048987530318836,271.13650436981203,104.05991368714452,109.24959120982768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,
1400,1400.0,0.6399963399999999,-0.234497072,9.7207126,-0.11670227,-0.115463257,0.0593261724,54.07524125,-50.58784475,-262.20016250000003,9.74460305904583,0.17485548477817914,272.4579269369012,104.11266992747244,109.24897720831396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,
1500,1500.0,0.86984558,0.054241942,9.704913000000001,0.06247711,0.0441131585,-0.0197219845,53.7546330909091,-50.90456918181818,-262.8824418181818,9.743983238606651,0.07926055078823821,273.1080850709787,104.16542616780038,109.24836320680024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,
1600,1600.0,0.7712021,0.21369934,10.3910905,-0.12713623,-0.17001343,0.085739136,51.7089843888889,-49.0743843888889,-264.36674,10.42186118605645,0.22895280474587834,273.81045304435986,104.21818240812831,109.24774920528654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,
1700,1700.0,0.83249206,0.13420410000000002,11.1313874,-0.0211486819,-0.191314695,0.1009178175,52.2749333,-49.920044,-263.624419,11.163299617267683,0.2175600381413724,273.35454440274873,104.27093864845622,109.24713520377286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,
1800,1800.0,1.27207032,0.341308593,9.9888714,0.25635321363636365,-0.07809864409090908,-0.12615273454545453,51.358763,-50.52981130434782,-263.51769652173914,10.075326792514517,0.2970591128154444,273.1896429564335,104.3236948887842,109.24652120225912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,
1900,1900.0,0.6969757,0.25679016,9.823669,0.08783569,-0.0692352298,-0.32928772,51.6156006,-51.360017,-261.359713,9.851709949761226,0.34781500405849114,271.3133438480702,104.37645112911213,109.2459072007454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,
2000,2000.0,0.8222236375,0.0021047593125,9.103617125,0.03929656424528302,-0.021291768679245284,-0.44808154,52.226437117647066,-51.65279705882353,-262.9583047058824,9.140684754048145,0.4526525691601427,273.02718233279097,104.42920736944006,109.2452931992317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,
2100,2100.0,0.92681885,0.43156433,9.9266205,-0.16015625,0.17832947,-0.33078003,55.200195,-51.89972,-262.04987,9.979129997282524,0.4084933934977949,272.78338811433025,104.48196360976802,109.24467919771799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,
2200,2200.0,2.39399106,0.29317932,11.5881988,-0.25709534,0.21774292,-0.37019348,53.100586,-49.49951,-262.35046,11.836656777409873,0.5005528999959469,272.2088124693892,104.53471985009594,109.24406519620428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,
