0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,
1200,1200.0,0.7920641357142858,0.12954929714285715,9.95979957142857,0.02519226,-0.03915150916666667,0.025202433333333333,49.49951,-50.39978,-261.74927,9.992101597706679,0.052964396760522,271.1144032688441,104.34008726931644,107.0800430169329,0.5833333333333334,0.25,0.5833333333333334,0.5,0.5833333333333334,0.4833333333333333,0.25,0.25,0.4833333333333333,0.25,0.5166666666666667,0.5833333333333334,0.2,0.16666666666666666,0.2,0.55,0.5666666666666667,0.8166666666666667,0.55,0.5666666666666667,0.8166666666666667,0.8166666666666667,0.5666666666666667,0.7333333333333333,0.55,0.7333333333333333,0.5666666666666667,0.7,0.8166666666666667,0.5666666666666667,0.7166666666666667,0.0,0.0,0.18333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.000000,
1300,1300.0,0.8344085840000001,0.23284912,9.7288606,-0.0014343261699999998,-0.018203735,0.0015869140499999998,53.12151228571428,-50.250244428571435,-263.16484428571425,9.767357399205778,0.01839331292457283,273.13846194494147,104.40273530464405,107.07931389374426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,
1400,1400.0,0.70846862,0.136120604,9.9831266,-0.0246643062,-0.0244903564,-0.0339965816,51.59197352631578,-48.954853368421055,-263.0138194736842,10.00917053412105,0.04865016893478656,272.46044551488455,104.4653833399716,107.0785847705556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,
1500,1500.0,0.8119049,0.224464415,9.9266205,-0.0512878432,-0.011489868,0.006057739079999999,51.49935714285714,-50.72181347619048,-262.87180476190474,9.962318139891293,0.05292166763081463,272.62968816885086,104.52803137529921,107.07785564736696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,
1600,1600.0,0.7239151025,0.0886001575,9.96133075,-0.047241211500000005,-0.0251312255,-0.010131836,51.59104288235294,-49.693925882352936,-262.4031547058824,9.988005749054643,0.05446689196657591,272.0058764830086,104.59067941062678,107.07712652417831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,
1700,1700.0,0.92012636,0.161505126,9.9476926,-0.07388306,-0.013768513666666671,-0.007644653333333333,51.36734075,-49.2296585,-263.4675585,9.991463940626833,0.07589788919084292,272.90550818430364,104.65332744595436,107.07639740098965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,
1800,1800.0,0.92395631,0.189755248,9.9189576,-0.0265777584,0.130392454,-0.109194946,51.37535165,-49.31274370000001,-261.6378045,9.963720338653669,0.17215525003616725,271.157079294979,104.71597548128193,107.075668277801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,
1900,1900.0,1.1542816,0.08918762,9.09343,-0.06695556899999999,0.20150757,-0.13983154,50.99945,-48.05543323913044,-261.74927,9.166830946873617,0.2544556375062528,270.9670031980577,104.77862351660951,107.07493915461235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,
2000,2000.0,0.5516183142857143,-0.16698565,10.426664142857145,-0.13600568341463415,-0.10456103858536586,-0.21796213024390249,52.66587504615384,-48.48275992307693,-261.2515007692308,10.442628278004447,0.27972296530106305,270.88153933649085,104.84127155193713,107.07421003142372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,
2100,2100.0,0.87893677,0.4172058,9.340042,-0.12784831166666666,-0.022644042666666662,-0.19761403333333333,53.75010133333333,-46.300252,-262.80009,9.390579060259046,0.2364823617023724,272.2070803594187,104.90391958726471,107.07348090823507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,
