,t,delta_t,ap0,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,ap17,ap18,ap19,ap20,ap21,ap22,ap23,ap24,ap25,ap26,ap27,ap28,ap29,ap30,ap31,ap32,ap33,ap34,ap35,ap36,ap37,ap38,ap39,ap40,ap41,ap42
0,1541172677882,3745,0.5166666666666667,0.21666666666666667,0.5333333333333333,0.55,0.5166666666666667,0.55,0.0,0.16666666666666666,0.55,0.0,0.55,0.5333333333333333,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.45,0.45,0.6666666666666666,0.45,0.6166666666666667,0.6833333333333333,0.6833333333333333,0.6166666666666667,0.7833333333333333,0.45,0.7833333333333333,0.6333333333333333,0.7833333333333333,0.75,0.6166666666666667,0.7833333333333333,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0
1,1541172677915,3778,0.5166666666666667,0.21666666666666667,0.5333333333333333,0.55,0.5166666666666667,0.55,0.0,0.16666666666666666,0.55,0.0,0.55,0.5333333333333333,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.45,0.45,0.6666666666666666,0.45,0.6166666666666667,0.6833333333333333,0.6833333333333333,0.6166666666666667,0.7833333333333333,0.45,0.7833333333333333,0.6333333333333333,0.7833333333333333,0.75,0.6166666666666667,0.7833333333333333,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0
2,1541172677947,3810,0.5166666666666667,0.21666666666666667,0.5333333333333333,0.55,0.5166666666666667,0.55,0.0,0.16666666666666666,0.55,0.0,0.55,0.5333333333333333,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.45,0.45,0.6666666666666666,0.45,0.6166666666666667,0.6833333333333333,0.0,0.6166666666666667,0.0,0.45,0.0,0.6333333333333333,0.0,0.0,0.6166666666666667,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0
3,1541172677973,3836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1541172677998,3861,0.5166666666666667,0.21666666666666667,0.5333333333333333,0.55,0.5166666666666667,0.55,0.0,0.16666666666666666,0.55,0.0,0.55,0.5333333333333333,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.45,0.45,0.6666666666666666,0.45,0.6166666666666667,0.6833333333333333,0.6833333333333333,0.6166666666666667,0.7833333333333333,0.45,0.7833333333333333,0.6333333333333333,0.7833333333333333,0.75,0.6166666666666667,0.7833333333333333,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0
5,1541172678015,3878,0.5166666666666667,0.21666666666666667,0.5333333333333333,0.55,0.5166666666666667,0.55,0.0,0.16666666666666666,0.55,0.0,0.55,0.5333333333333333,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.45,0.45,0.0,0.45,0.6166666666666667,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0
6,1541172678030,3893,0.0,0.21666666666666667,0.0,0.55,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.45,0.45,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1541172678045,3908,0.0,0.21666666666666667,0.0,0.55,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.45,0.45,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1541172678058,3921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1541172678072,3935,0.0,0.21666666666666667,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.45,0.45,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1541172678087,3950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1541172678104,3967,0.5166666666666667,0.21666666666666667,0.5333333333333333,0.55,0.5166666666666667,0.55,0.0,0.16666666666666666,0.55,0.0,0.55,0.5333333333333333,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.45,0.45,0.6666666666666666,0.45,0.6166666666666667,0.6833333333333333,0.6833333333333333,0.6166666666666667,0.7833333333333333,0.45,0.7833333333333333,0.6333333333333333,0.7833333333333333,0.75,0.6166666666666667,0.7833333333333333,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0
12,1541172678126,3989,0.5166666666666667,0.21666666666666667,0.5333333333333333,0.55,0.5166666666666667,0.55,0.0,0.16666666666666666,0.55,0.0,0.55,0.5333333333333333,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.45,0.45,0.6666666666666666,0.45,0.6166666666666667,0.6833333333333333,0.6833333333333333,0.6166666666666667,0.7833333333333333,0.45,0.7833333333333333,0.6333333333333333,0.7833333333333333,0.75,0.6166666666666667,0.7833333333333333,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0
13,1541172678148,4011,0.5166666666666667,0.21666666666666667,0.5333333333333333,0.55,0.5166666666666667,0.55,0.0,0.16666666666666666,0.55,0.0,0.55,0.5333333333333333,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.45,0.45,0.6666666666666666,0.45,0.6166666666666667,0.6833333333333333,0.6833333333333333,0.6166666666666667,0.7833333333333333,0.45,0.7833333333333333,0.6333333333333333,0.7833333333333333,0.75,0.6166666666666667,0.7833333333333333,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0
14,1541172678161,4024,0.5166666666666667,0.21666666666666667,0.5333333333333333,0.55,0.5166666666666667,0.55,0.0,0.16666666666666666,0.55,0.0,0.55,0.5333333333333333,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.45,0.45,0.6666666666666666,0.45,0.6166666666666667,0.6833333333333333,0.6833333333333333,0.6166666666666667,0.7833333333333333,0.45,0.7833333333333333,0.6333333333333333,0.7833333333333333,0.75,0.6166666666666667,0.7833333333333333,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0
15,1541172678167,4030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1541172678194,4057,0.5166666666666667,0.21666666666666667,0.5333333333333333,0.55,0.5166666666666667,0.55,0.0,0.16666666666666666,0.55,0.0,0.55,0.5333333333333333,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.45,0.45,0.6666666666666666,0.45,0.6166666666666667,0.6833333333333333,0.6833333333333333,0.6166666666666667,0.7833333333333333,0.45,0.7833333333333333,0.6333333333333333,0.7833333333333333,0.75,0.6166666666666667,0.7833333333333333,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0
17,1541172678208,4071,0.5166666666666667,0.21666666666666667,0.5333333333333333,0.55,0.5166666666666667,0.55,0.0,0.16666666666666666,0.55,0.0,0.55,0.5333333333333333,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.45,0.45,0.6666666666666666,0.45,0.6166666666666667,0.6833333333333333,0.6833333333333333,0.6166666666666667,0.7833333333333333,0.45,0.7833333333333333,0.6333333333333333,0.7833333333333333,0.75,0.6166666666666667,0.7833333333333333,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0
18,1541172678226,4089,0.5166666666666667,0.21666666666666667,0.5333333333333333,0.55,0.5166666666666667,0.55,0.0,0.16666666666666666,0.55,0.0,0.55,0.5333333333333333,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.45,0.45,0.6666666666666666,0.45,0.6166666666666667,0.6833333333333333,0.6833333333333333,0.6166666666666667,0.7833333333333333,0.45,0.7833333333333333,0.6333333333333333,0.7833333333333333,0.75,0.6166666666666667,0.7833333333333333,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0
19,1541172678237,4100,0.5166666666666667,0.21666666666666667,0.5333333333333333,0.55,0.5166666666666667,0.55,0.0,0.16666666666666666,0.55,0.0,0.55,0.5333333333333333,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.45,0.45,0.6666666666666666,0.45,0.6166666666666667,0.6833333333333333,0.6833333333333333,0.6166666666666667,0.7833333333333333,0.45,0.7833333333333333,0.6333333333333333,0.7833333333333333,0.75,0.6166666666666667,0.7833333333333333,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0
20,1541172678254,4117,0.5166666666666667,0.21666666666666667,0.5333333333333333,0.55,0.5166666666666667,0.55,0.0,0.16666666666666666,0.55,0.0,0.55,0.5333333333333333,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.45,0.45,0.6666666666666666,0.45,0.6166666666666667,0.6833333333333333,0.6833333333333333,0.6166666666666667,0.0,0.45,0.0,0.6333333333333333,0.0,0.0,0.6166666666666667,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0
21,1541172678267,4130,0.5166666666666667,0.21666666666666667,0.5333333333333333,0.55,0.5166666666666667,0.55,0.0,0.16666666666666666,0.55,0.0,0.55,0.5333333333333333,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.45,0.45,0.6666666666666666,0.45,0.6166666666666667,0.6833333333333333,0.6833333333333333,0.6166666666666667,0.0,0.45,0.0,0.6333333333333333,0.0,0.0,0.6166666666666667,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0
22,1541172678288,4151,0.5166666666666667,0.21666666666666667,0.5333333333333333,0.55,0.5166666666666667,0.55,0.0,0.16666666666666666,0.55,0.0,0.55,0.5333333333333333,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.45,0.45,0.6666666666666666,0.45,0.6166666666666667,0.6833333333333333,0.6833333333333333,0.6166666666666667,0.7833333333333333,0.45,0.7833333333333333,0.6333333333333333,0.7833333333333333,0.75,0.6166666666666667,0.7833333333333333,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0
23,1541172678293,4156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1541172678322,4185,0.5166666666666667,0.21666666666666667,0.5333333333333333,0.55,0.5166666666666667,0.55,0.0,0.16666666666666666,0.55,0.0,0.55,0.5333333333333333,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.45,0.45,0.6666666666666666,0.45,0.6166666666666667,0.6833333333333333,0.6833333333333333,0.6166666666666667,0.7833333333333333,0.45,0.7833333333333333,0.6333333333333333,0.7833333333333333,0.75,0.6166666666666667,0.7833333333333333,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0
25,1541172678331,4194,0.0,0.21666666666666667,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1541172678351,4214,0.5166666666666667,0.21666666666666667,0.5333333333333333,0.55,0.5166666666666667,0.55,0.0,0.16666666666666666,0.55,0.0,0.55,0.5333333333333333,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.45,0.45,0.6666666666666666,0.45,0.6166666666666667,0.6833333333333333,0.6833333333333333,0.6166666666666667,0.7833333333333333,0.45,0.7833333333333333,0.6333333333333333,0.7833333333333333,0.75,0.6166666666666667,0.7833333333333333,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0
